"ID","category","term","number_of_genes","number_of_genes_in_background","ncbiTaxonId","inputGenes","preferredNames","p_value","fdr","description"
"Mild_B__321","Process","GO.0043901",5,212,"9606","9606.ENSP00000252593,9606.ENSP00000360869,9606.ENSP00000361965,9606.ENSP00000368699,9606.ENSP00000371471","BST2,IFIT1,ADA,ISG15,RSAD2",5.7e-06,0.00023,"negative regulation of multi-organism process"
"Mild_B__321","Process","GO.0002376",12,2370,"9606","9606.ENSP00000252593,9606.ENSP00000342278,9606.ENSP00000342513,9606.ENSP00000354822,9606.ENSP00000359787,9606.ENSP00000360215,9606.ENSP00000360869,9606.ENSP00000361965,9606.ENSP00000368699,9606.ENSP00000371471,9606.ENSP00000380697,9606.ENSP00000395590","BST2,OAS2,IFI6,XAF1,IFI44L,ZBP1,IFIT1,ADA,ISG15,RSAD2,IRF7,IFI35",6.69e-06,0.00025,"immune system process"
"Mild_B__321","Process","GO.0002252",8,927,"9606","9606.ENSP00000252593,9606.ENSP00000342278,9606.ENSP00000359787,9606.ENSP00000360869,9606.ENSP00000361965,9606.ENSP00000368699,9606.ENSP00000371471,9606.ENSP00000380697","BST2,OAS2,IFI44L,IFIT1,ADA,ISG15,RSAD2,IRF7",9.7e-06,0.00034,"immune effector process"
"Mild_CP__123","KEGG","hsa03010",5,130,"9606","9606.ENSP00000259469,9606.ENSP00000296674,9606.ENSP00000339795,9606.ENSP00000362744,9606.ENSP00000470972","RPL35,RPS23,RPL7,RPS4X,RPS19",2.75e-08,9.92e-07,"Ribosome"
"Mild_CP__123","Process","GO.0006614",5,92,"9606","9606.ENSP00000259469,9606.ENSP00000296674,9606.ENSP00000339795,9606.ENSP00000362744,9606.ENSP00000470972","RPL35,RPS23,RPL7,RPS4X,RPS19",5.2e-09,3.47e-06,"SRP-dependent cotranslational protein targeting to membrane"
"Mild_CP__123","Process","GO.0000184",5,118,"9606","9606.ENSP00000259469,9606.ENSP00000296674,9606.ENSP00000339795,9606.ENSP00000362744,9606.ENSP00000470972","RPL35,RPS23,RPL7,RPS4X,RPS19",1.72e-08,3.47e-06,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"
"Mild_CP__123","Process","GO.0006413",5,142,"9606","9606.ENSP00000259469,9606.ENSP00000296674,9606.ENSP00000339795,9606.ENSP00000362744,9606.ENSP00000470972","RPL35,RPS23,RPL7,RPS4X,RPS19",4.22e-08,3.52e-06,"translational initiation"
"Mild_CP__123","Function","GO.0003735",4,146,"9606","9606.ENSP00000259469,9606.ENSP00000296674,9606.ENSP00000339795,9606.ENSP00000362744","RPL35,RPS23,RPL7,RPS4X",3.12e-06,0.00032,"structural constituent of ribosome"
"Mild_CP__123","Component","GO.0022627",3,38,"9606","9606.ENSP00000296674,9606.ENSP00000362744,9606.ENSP00000470972","RPS23,RPS4X,RPS19",3.05e-06,0.00047,"cytosolic small ribosomal subunit"
"Mild_CP__123","Process","GO.0000463",2,10,"9606","9606.ENSP00000259469,9606.ENSP00000339795","RPL35,RPL7",3.12e-05,0.00083,"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"Mild_CP__321","Process","GO.0051707",7,1173,"9606","9606.ENSP00000233057,9606.ENSP00000256722,9606.ENSP00000342513,9606.ENSP00000354822,9606.ENSP00000359787,9606.ENSP00000368699,9606.ENSP00000381601","EIF2AK2,CMPK2,IFI6,XAF1,IFI44L,ISG15,MX1",2.85e-09,1.19e-06,"response to other organism"
"Mild_CP__321","Process","GO.0060337",4,65,"9606","9606.ENSP00000342513,9606.ENSP00000354822,9606.ENSP00000368699,9606.ENSP00000381601","IFI6,XAF1,ISG15,MX1",4.91e-09,1.19e-06,"type I interferon signaling pathway"
"Mild_CP__321","Process","GO.0098542",6,859,"9606","9606.ENSP00000233057,9606.ENSP00000342513,9606.ENSP00000354822,9606.ENSP00000359787,9606.ENSP00000368699,9606.ENSP00000381601","EIF2AK2,IFI6,XAF1,IFI44L,ISG15,MX1",4.94e-08,2.95e-06,"defense response to other organism"
"Mild_CP__321","Process","GO.0051607",4,181,"9606","9606.ENSP00000233057,9606.ENSP00000359787,9606.ENSP00000368699,9606.ENSP00000381601","EIF2AK2,IFI44L,ISG15,MX1",2.64e-07,1.23e-05,"defense response to virus"
"Mild_CP__321","Process","GO.0051704",7,2514,"9606","9606.ENSP00000233057,9606.ENSP00000256722,9606.ENSP00000342513,9606.ENSP00000354822,9606.ENSP00000359787,9606.ENSP00000368699,9606.ENSP00000381601","EIF2AK2,CMPK2,IFI6,XAF1,IFI44L,ISG15,MX1",5.84e-07,2.22e-05,"multi-organism process"
"Mild_CP__321","Process","GO.0045071",3,52,"9606","9606.ENSP00000233057,9606.ENSP00000368699,9606.ENSP00000381601","EIF2AK2,ISG15,MX1",7.29e-07,2.54e-05,"negative regulation of viral genome replication"
"Mild_CP__321","Process","GO.0045087",5,676,"9606","9606.ENSP00000233057,9606.ENSP00000342513,9606.ENSP00000354822,9606.ENSP00000368699,9606.ENSP00000381601","EIF2AK2,IFI6,XAF1,ISG15,MX1",9.96e-07,3.2e-05,"innate immune response"
"Mild_CP__321","Process","GO.0034097",5,1035,"9606","9606.ENSP00000233057,9606.ENSP00000342513,9606.ENSP00000354822,9606.ENSP00000368699,9606.ENSP00000381601","EIF2AK2,IFI6,XAF1,ISG15,MX1",8.05e-06,0.00019,"response to cytokine"
"Mild_CP__321","Process","GO.0071310",6,2219,"9606","9606.ENSP00000233057,9606.ENSP00000256722,9606.ENSP00000342513,9606.ENSP00000354822,9606.ENSP00000368699,9606.ENSP00000381601","EIF2AK2,CMPK2,IFI6,XAF1,ISG15,MX1",1.36e-05,0.00028,"cellular response to organic substance"
"Mild_CP__321","Process","GO.0002376",6,2370,"9606","9606.ENSP00000233057,9606.ENSP00000342513,9606.ENSP00000354822,9606.ENSP00000359787,9606.ENSP00000368699,9606.ENSP00000381601","EIF2AK2,IFI6,XAF1,IFI44L,ISG15,MX1",2e-05,4e-04,"immune system process"
"Mild_CP__321","Process","GO.0043901",3,212,"9606","9606.ENSP00000233057,9606.ENSP00000368699,9606.ENSP00000381601","EIF2AK2,ISG15,MX1",4.43e-05,0.00071,"negative regulation of multi-organism process"
"Mild_Myeloid__123","Component","GO.0005737",232,11238,"9606","9606.ENSP00000006275,9606.ENSP00000056233,9606.ENSP00000167106,9606.ENSP00000202017,9606.ENSP00000216264,9606.ENSP00000216268,9606.ENSP00000216911,9606.ENSP00000220592,9606.ENSP00000226230,9606.ENSP00000226319,9606.ENSP00000229829,9606.ENSP00000231061,9606.ENSP00000231368,9606.ENSP00000234739,9606.ENSP00000239440,9606.ENSP00000243167,9606.ENSP00000248098,9606.ENSP00000248933,9606.ENSP00000249806,9606.ENSP00000252996,9606.ENSP00000253673,9606.ENSP00000254090,9606.ENSP00000254101,9606.ENSP00000256366,9606.ENSP00000256474,9606.ENSP00000258415,9606.ENSP00000259874,9606.ENSP00000260118,9606.ENSP00000260197,9606.ENSP00000261023,9606.ENSP00000261024,9606.ENSP00000261381,9606.ENSP00000261396,9606.ENSP00000261537,9606.ENSP00000261574,9606.ENSP00000262919,9606.ENSP00000263073,9606.ENSP00000263209,9606.ENSP00000263461,9606.ENSP00000263932,9606.ENSP00000264033,9606.ENSP00000265148,9606.ENSP00000266077,9606.ENSP00000267287,9606.ENSP00000267484,9606.ENSP00000269228,9606.ENSP00000269289,9606.ENSP00000269576,9606.ENSP00000269703,9606.ENSP00000271651,9606.ENSP00000277895,9606.ENSP00000280758,9606.ENSP00000281623,9606.ENSP00000281741,9606.ENSP00000282030,9606.ENSP00000282096,9606.ENSP00000284617,9606.ENSP00000284987,9606.ENSP00000285518,9606.ENSP00000289416,9606.ENSP00000291700,9606.ENSP00000294724,9606.ENSP00000295641,9606.ENSP00000295746,9606.ENSP00000297293,9606.ENSP00000297785,9606.ENSP00000299198,9606.ENSP00000300658,9606.ENSP00000301764,9606.ENSP00000302543,9606.ENSP00000303830,9606.ENSP00000305480,9606.ENSP00000306100,9606.ENSP00000307235,9606.ENSP00000307911,9606.ENSP00000307940,9606.ENSP00000307959,9606.ENSP00000309477,9606.ENSP00000309595,9606.ENSP00000310561,9606.ENSP00000311430,9606.ENSP00000312587,9606.ENSP00000314080,9606.ENSP00000315743,9606.ENSP00000316338,9606.ENSP00000317000,9606.ENSP00000318486,9606.ENSP00000318687,9606.ENSP00000319141,9606.ENSP00000321584,9606.ENSP00000321853,9606.ENSP00000322532,9606.ENSP00000323074,9606.ENSP00000324960,9606.ENSP00000325785,9606.ENSP00000331305,9606.ENSP00000333212,9606.ENSP00000338185,9606.ENSP00000338777,9606.ENSP00000339063,9606.ENSP00000339477,9606.ENSP00000340299,9606.ENSP00000340494,9606.ENSP00000340761,9606.ENSP00000344220,9606.ENSP00000345728,9606.ENSP00000346001,9606.ENSP00000346050,9606.ENSP00000347721,9606.ENSP00000348128,9606.ENSP00000353007,9606.ENSP00000353518,9606.ENSP00000354499,9606.ENSP00000354554,9606.ENSP00000354632,9606.ENSP00000354728,9606.ENSP00000354813,9606.ENSP00000354876,9606.ENSP00000354961,9606.ENSP00000354982,9606.ENSP00000355046,9606.ENSP00000355206,9606.ENSP00000355265,9606.ENSP00000355741,9606.ENSP00000355747,9606.ENSP00000355812,9606.ENSP00000356130,9606.ENSP00000356433,9606.ENSP00000356906,9606.ENSP00000357076,9606.ENSP00000357153,9606.ENSP00000358363,9606.ENSP00000358795,9606.ENSP00000359128,9606.ENSP00000359345,9606.ENSP00000359505,9606.ENSP00000360526,9606.ENSP00000360858,9606.ENSP00000361932,9606.ENSP00000361949,9606.ENSP00000362836,9606.ENSP00000364080,9606.ENSP00000364691,9606.ENSP00000364794,9606.ENSP00000364801,9606.ENSP00000364802,9606.ENSP00000365256,9606.ENSP00000366863,9606.ENSP00000367263,9606.ENSP00000367797,9606.ENSP00000368759,9606.ENSP00000368880,9606.ENSP00000369400,9606.ENSP00000369757,9606.ENSP00000374036,9606.ENSP00000375907,9606.ENSP00000376056,9606.ENSP00000376142,9606.ENSP00000376184,9606.ENSP00000376335,9606.ENSP00000376390,9606.ENSP00000376457,9606.ENSP00000378974,9606.ENSP00000379156,9606.ENSP00000379182,9606.ENSP00000379353,9606.ENSP00000379696,9606.ENSP00000379888,9606.ENSP00000381844,9606.ENSP00000382269,9606.ENSP00000382508,9606.ENSP00000382856,9606.ENSP00000384398,9606.ENSP00000385083,9606.ENSP00000385510,9606.ENSP00000385571,9606.ENSP00000386862,9606.ENSP00000387051,9606.ENSP00000387654,9606.ENSP00000388806,9606.ENSP00000390158,9606.ENSP00000390431,9606.ENSP00000394794,9606.ENSP00000398698,9606.ENSP00000401980,9606.ENSP00000406157,9606.ENSP00000408146,9606.ENSP00000409279,9606.ENSP00000410926,9606.ENSP00000411355,9606.ENSP00000411831,9606.ENSP00000413572,9606.ENSP00000413720,9606.ENSP00000414786,9606.ENSP00000417354,9606.ENSP00000426119,9606.ENSP00000427015,9606.ENSP00000432083,9606.ENSP00000434241,9606.ENSP00000439228,9606.ENSP00000439666,9606.ENSP00000440864,9606.ENSP00000441927,9606.ENSP00000442159,9606.ENSP00000442464,9606.ENSP00000443339,9606.ENSP00000444561,9606.ENSP00000445043,9606.ENSP00000445768,9606.ENSP00000446479,9606.ENSP00000448083,9606.ENSP00000449328,9606.ENSP00000451712,9606.ENSP00000452634,9606.ENSP00000455897,9606.ENSP00000457991,9606.ENSP00000462435,9606.ENSP00000468767,9606.ENSP00000468991,9606.ENSP00000473686,9606.ENSP00000474861,9606.ENSP00000477538,9606.ENSP00000477781,9606.ENSP00000477979,9606.ENSP00000478874,9606.ENSP00000479586,9606.ENSP00000479667,9606.ENSP00000480916,9606.ENSP00000482093,9606.ENSP00000482229,9606.ENSP00000483732,9606.ENSP00000485663","TRAPPC6A,NFE2L3,VASH1,PDRG1,CERK,ZBED4,AURKA,AGO2,TMEM97,JADE1,HLA-DOA,SPARC,LNPEP,BCL9,ARAP3,FAAH,HN1L,SEZ6L,CLN6,TAF4,EMR3,FMO5,PRKAB2,SYNJ2BP,VHL,CYP27A1,IER3,GGH,SORL1,ITGAV,SLC40A1,XYLT1,NUP133,MIB1,IPO5,ATRN,SMG6,DGCR8,WDR11,TNFRSF8,CBL,CENPE,SLC2A4RG,MBNL2,RTN1,NPC1,ZMYND15,KRT10,CYP4F22,CTSK,ABLIM1,BTBD11,FBXO4,TXNDC16,SETBP1,PDE3B,CCSAP,ADAMTS5,AGPAT5,ACSM3,S100B,AGL,STK11IP,KIAA1524,LMTK2,ALDH1A1,CKB,PGAP3,DDB1,CXXC5,INSR,FEN1,PAM,EIF2AK3,CHST2,EEF2,DST,ACO1,C10orf2,ARHGAP32,RPL4,COQ10A,HIC1,CCNG2,BAIAP2,TM6SF1,CDK5R1,HSPH1,CYBRD1,IMPDH2,SERPINF2,PELI3,RAI1,CABP4,SPECC1L,TOB2,CYP2U1,PLCB1,AP3S2,EEF1A1,B7RP1,ZDHHC1,ZNF395,BRI3BP,PDPK1,ATP7A,RPL3,RPS3A,SPNS3,SVIL,SULF2,ANKS1A,MT-CO1,MT-CYB,MT-ATP6,MT-ND4L,MT-ND5,MT-CO2,MT-ND4,MT-CO3,MT-ND2,MT-ND3,MT-ATP8,ADCK3,PSEN2,FGFR1OP,DSTYK,UST,SH2D1B,TAGLN2,CD1D,PDE4DIP,NEURL1,NPM3,RPL5,C6orf57,ZNF217,OLFM1,FUT11,PABPC4,KCTD20,HLA-DQB1,CROCC,IARS,HSPA1B,HSPA1A,CLCN5,TBC1D4,AHNAK,SKI,NEDD9,FOXO1,NHS,RPS6,RPH3A,PID1,EEF1B2,INPP1,BDH1,GPR155,RAB37,ECT2,MAPK8,MPRIP,RAE1,ST8SIA1,PKIA,RPS8,ATL3,HECTD1,CDIP1,MTRNR2L4,MEX3D,KDSR,GPSM2,HIPK2,SH3BP4,FAM168B,PCYOX1,EIF4B,HERC1,HLA-DQB2,PTPN13,TNF,MAVS,PAPSS2,HLA-DPB1,OTUD4,LMLN,PTPRC,KIF21B,NLE1,CDKN1C,TMEM64,GOLIM4,CRIP2,RPS6KA2,HSPA8,KCNC3,MTRNR2L1,MTRNR2L8,NR4A1,SESN3,MTRNR2L10,NCEH1,MTRNR2L3,TMEM14C,FRY,KIAA1147,FICD,TPCN1,RPLP0,NDRG2,TNFAIP2,MRC1,PHLPP2,TPPP3,ACP5,MTRNR2L12,MTRNR2L6,MTRNR2L11,NAP1L1,TPT1,NBPF9,CAMK1D,LYNX1,RPS6KA5,SLC9A7,PER3,SOCS7,ICOSL,EIF3L",5.6e-09,3.05e-06,"cytoplasm"
